transliteration,sorting,period,morphology,number,person,class,affix,semantics,root ≠ base,base,pagenumber,adjectival use,classifier_front,classifier_end,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_MEGA,certainty-weight_MEGA,proper_name_context,contributor,validator,lang_context,loan_lang,unicode,Wordnet,Notes,POS,variant,cognate,case,conjugation,mode,voice,frequency,rich
tuk-na,dukna,nE,tuk2-na,Sg.,1st,,-na,,,tuk,,,,,,-na;postp.gen,,,of wool,0.5,wool,0.5,,f,,,,,,,noun,tuk+-na,,,,,,6,"<qt><font color=""#b40000"">tuk</font>-na</qt>"
TUR,dur,mE,,,,,,,,...,367,x,,,Sum,,,,klein,1,,,,IC,,,,,,,adjective,,,,,,,5,"<qt><font color=""#b40000"">TUR</font></qt>"
tur-ma,durma,achE,,,,,,,,tur,,,,,,-ma;postp.loc,,,as travel provisions,1,travel provision,1,,f,,,,,,,noun,tur,,,,,,1,"<qt><font color=""#b40000"">tur</font>-<font color=""#b40000"">ma</font></qt>"
TUR.TUR,durtur,mE; nE,,,,,,,,...,373,x,,,Sum,,,,"ganz klein, winzig",1,,,,IC,,,,,,,adjective,,,,,,,4,"<qt><font color=""#b40000"">TUR</font>.<font color=""#b40000"">TUR</font></qt>"
du-šu-um-ya,dus~uumya,nE,knife-ya,,,,,,,tušum-ya,377,x,,,,-ya;adj,,,für Messer,0.5,,,,IC,,,,,,,adjective,du-ši-um,,,,,,2,"<qt><font color=""#9b0000"">du</font>-<font color=""#9b0000"">šu</font>-<font color=""#690000"">um</font>-<font color=""#9b0000"">ya</font></qt>"
TU.TU,dutu,nE,,,,,,,,...,378,x,,,Other,,,,schwarz,0.5,,,,IC,,,,,,,adjective,,,,,,,14,"<qt><font color=""#00ff00"">TU</font>.<font color=""#00ff00"">TU</font></qt>"
du-uk-qa-ip,duukqaip,achE,duka-k-PL,Pl.,3rd Anim.,,-k,,,tuka-p,382,,,,,-p;3pl.an,,,gefüttert worden ,1,,,,IC,,,,,,,adjective,,,,,,,1,"<qt><font color=""#9b0000"">du</font>-<font color=""#9b0000"">uk</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">ip</font></qt>"
e-la-an-ti,elaanti,mE,Elam-ti,,,,,,,elamtu,393,x,,,,,,,von Elam,1,,,,IC,,,Akk,,,,adjective,,,,,,,1,"<qt><font color=""#690000"">e</font>-la-<font color=""#c30000"">an</font>-<font color=""#690000"">ti</font></qt>"
e-ri-[en-tum4]-na,erientumna,mE,brick-of,,,,-na,,,erintum,,,,,,-na;postp.gen,,,of bricks,1,brick,1,,f,,,Akk,,,,noun,,,,,,,1,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#9b0000"">tum<sub><small>4</small></sub></font>-na</qt>"
e-ri-en-tum4-im-ma,erientumimma,mE,brick-imma,,,,,,,erintum,,,,,,-ma;postp.loc,,,"of bricks, of burnt bricks",1,brick,1,,f,,,Akk,,,,noun,e-ri-en-tu4-um,,,,,,4,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#9b0000"">tum<sub><small>4</small></sub></font>-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font></qt>"
